gen,nevals,avg,std,min,max
0,20,[0.09244419],[0.00147106],[0.08858847],[0.09411378]
1,58,[0.09368404],[0.00018808],[0.09344913],[0.09411378]
2,52,[0.09409711],[0.00023861],[0.09391458],[0.09478159]
3,61,[0.09485783],[0.00043029],[0.09451208],[0.09666152]
4,59,[0.09531108],[0.00070168],[0.09487833],[0.09666152]
5,60,[0.09662896],[4.73822921e-05],[0.09655584],[0.09668391]
6,62,[0.09667355],[2.0064147e-05],[0.09666152],[0.09673929]
7,58,[0.09669638],[1.77004115e-05],[0.09668391],[0.09673929]
8,62,[0.09671997],[1.42683653e-05],[0.09670826],[0.09673929]
9,54,[0.09675454],[2.0073539e-05],[0.09673929],[0.09682518]
10,63,[0.0967778],[2.50252672e-05],[0.09676363],[0.09682518]
11,51,[0.09681967],[1.47731207e-05],[0.09676363],[0.09682518]
12,61,[0.09682518],[0.],[0.09682518],[0.09682518]
13,56,[0.09682518],[0.],[0.09682518],[0.09682518]
14,57,[0.09682518],[0.],[0.09682518],[0.09682518]
15,60,[0.09682518],[0.],[0.09682518],[0.09682518]
16,56,[0.09682518],[0.],[0.09682518],[0.09682518]
17,58,[0.09682518],[0.],[0.09682518],[0.09682518]
18,57,[0.09682518],[0.],[0.09682518],[0.09682518]
19,57,[0.09684196],[7.31363389e-05],[0.09682518],[0.09716076]
20,56,[0.0968923],[0.00013423],[0.09682518],[0.09716076]
21,59,[0.09716076],[1.38777878e-17],[0.09716076],[0.09716076]
22,60,[0.09716076],[1.38777878e-17],[0.09716076],[0.09716076]
23,65,[0.09735022],[0.00056846],[0.09716076],[0.0990851]
24,59,[0.09782238],[0.00090181],[0.09716076],[0.0990851]
25,60,[0.09906131],[2.91387333e-05],[0.09902562],[0.0990851]
26,59,[0.0990851],[1.38777878e-17],[0.0990851],[0.0990851]
27,60,[0.0990851],[1.38777878e-17],[0.0990851],[0.0990851]
28,54,[0.0990851],[1.38777878e-17],[0.0990851],[0.0990851]
29,62,[0.0990851],[1.38777878e-17],[0.0990851],[0.0990851]
30,59,[0.09916019],[0.0003273],[0.0990851],[0.10058685]
31,59,[0.09923528],[0.00045052],[0.0990851],[0.10058685]
32,60,[0.09961071],[0.00071629],[0.0990851],[0.10058685]
33,61,[0.10058685],[0.],[0.10058685],[0.10058685]
34,57,[0.10058685],[0.],[0.10058685],[0.10058685]
35,63,[0.10058685],[0.],[0.10058685],[0.10058685]
36,62,[0.10058685],[0.],[0.10058685],[0.10058685]
37,60,[0.10058685],[0.],[0.10058685],[0.10058685]
38,61,[0.10058685],[0.],[0.10058685],[0.10058685]
39,62,[0.10058685],[0.],[0.10058685],[0.10058685]
40,56,[0.10066556],[0.00034311],[0.10058685],[0.10216115]
41,65,[0.10082299],[0.00056214],[0.10058685],[0.10216115]
42,57,[0.10176757],[0.00068169],[0.10058685],[0.10216115]
43,61,[0.10216115],[1.38777878e-17],[0.10216115],[0.10216115]
44,55,[0.10216115],[1.38777878e-17],[0.10216115],[0.10216115]
45,61,[0.10216115],[1.38777878e-17],[0.10216115],[0.10216115]
